作文分词语频统计结果 (GPF分词)
============================================================
文件数量: 282
不同词汇数量: 25,529
============================================================

排名       词语               词频          
----------------------------------------
1        我们               1,827       
2        一个               1,530       
3        自己               1,159       
4        没有               1,077       
5        老师               799         
6        他们               785         
7        什么               697         
8        知道               680         
9        妈妈               608         
10       因为               525         
11       可以               501         
12       这样               492         
13       这个               466         
14       时候               407         
15       起来               371         
16       作者               364         
17       已经               362         
18       怎么               357         
19       指导               356         
20       单位               347         
21       一样               342         
22       世界               339         
23       还是               334         
24       那个               330         
25       一起               324         
26       现在               324         
27       那么               318         
28       生活               314         
29       爸爸               301         
30       看到               292         
31       你们               288         
32       朋友               283         
33       同学               275         
34       中国               274         
35       母亲               273         
36       快乐               271         
37       开始               265         
38       一切               265         
39       喜欢               262         
40       蔡依依              257         
41       可是               256         
42       出来               249         
43       生命               249         
44       今天               247         
45       父亲               247         
46       只是               246         
47       时间               244         
48       为什么              242         
49       一直               242         
50       还有               241         
51       为了               240         
52       声音               231         
53       孩子               231         
54       眼睛               223         
55       东西               221         
56       永远               221         
57       一定               220         
58       这么               218         
59       如果               216         
60       希望               215         
61       第一               215         
62       终于               214         
63       女孩               211         
64       觉得               205         
65       那些               204         
66       大家               203         
67       总是               198         
68       这些               197         
69       于是               196         
70       所以               195         
71       幸福               192         
72       最后               190         
73       告诉               187         
74       这里               186         
75       但是               186         
76       感觉               186         
77       一下               185         
78       看见               185         
79       下来               185         
80       虽然               184         
81       发现               184         
82       然后               184         
83       王晶               184         
84       突然               181         
85       不要               180         
86       于晗               178         
87       阳光               177         
88       记得               175         
89       有些               175         
90       金浩               174         
91       人们               172         
92       来到               169         
93       学习               168         
94       回来               168         
95       感到               167         
96       心里               167         
97       心中               167         
98       人类               163         
99       原来               162         
100      离开               160         
101      也许               159         
102      如此               159         
103      其实               159         
104      地方               156         
105      过去               154         
106      父母               154         
107      学校               153         
108      真的               150         
109      不过               150         
110      美丽               150         
111      所有               146         
112      似乎               146         
113      苏文熏              144         
114      很多               143         
115      过来               141         
116      以后               140         
117      别人               139         
118      这种               138         
119      回家               138         
120      相信               137         
121      多少               134         
122      充满               133         
123      微笑               132         
124      那样               132         
125      不知               132         
126      明白               131         
127      音乐               130         
128      应该               129         
129      需要               127         
130      许多               126         
131      电话               125         
132      无法               125         
133      男孩               124         
134      一些               122         
135      北京               121         
136      想到               121         
137      作业               121         
138      只有               120         
139      奶奶               120         
140      想起               119         
141      甚至               119         
142      工作               118         
143      故事               118         
144      十分               116         
145      日子               116         
146      那里               116         
147      人生               116         
148      第二               114         
149      多么               114         
150      而且               113         
151      努力               112         
152      它们               112         
153      名字               112         
154      有的               112         
155      这时               111         
156      成为               110         
157      回到               110         
158      天使               110         
159      天空               109         
160      社会               109         
161      样子               108         
162      出现               108         
163      当然               107         
164      一点               106         
165      脸上               105         
166      不再               105         
167      面对               105         
168      怎样               104         
169      听到               104         
170      可爱               104         
171      下去               104         
172      晚上               104         
173      衣服               104         
174      好像               102         
175      准备               102         
176      爷爷               102         
177      等待               102         
178      可能               101         
179      曾经               101         
180      真是               100         
181      高兴               100         
182      面前               100         
183      以前               99          
184      之后               99          
185      一边               99          
186      自然               99          
187      对于               99          
188      青春               99          
189      温暖               97          
190      只要               96          
191      身上               96          
192      文章               96          
193      看看               95          
194      家里               94          
195      美好               94          
196      文化               94          
197      泪水               94          
198      每天               94          
199      历史               94          
200      学生               94          
201      开心               93          
202      留下               93          
203      教室               93          
204      身边               92          
205      里面               91          
206      眼泪               91          
207      后来               91          
208      整个               90          
209      好好               89          
210      电脑               89          
211      事情               89          
212      只能               89          
213      回去               89          
214      先生               89          
215      地球               88          
216      当时               88          
217      说话               87          
218      精神               87          
219      明天               86          
220      轻轻               86          
221      回答               86          
222      心情               85          
223      成功               85          
224      她们               85          
225      依然               85          
226      梦想               84          
227      失去               84          
228      正在               83          
229      得到               83          
230      发展               82          
231      眼前               82          
232      打开               82          
233      认为               82          
234      哥哥               82          
235      身体               82          
236      长大               82          
237      一般               81          
238      或许               81          
239      人民               80          
240      主人               80          
241      发生               80          
242      痛苦               80          
243      年级               79          
244      每个               78          
245      改变               78          
246      儿子               78          
247      那天               78          
248      城市               77          
249      手中               77          
250      之间               77          
251      熟悉               77          
252      慢慢               77          
253      女儿               77          
254      仿佛               76          
255      似的               76          
256      以为               76          
257      变成               76          
258      认识               76          
259      电影               76          
260      奥运               75          
261      不同               75          
262      寻找               75          
263      直到               75          
264      无奈               75          
265      战争               75          
266      深深               74          
267      老爸               74          
268      女人               73          
269      语文               73          
270      那时               72          
271      出去               72          
272      有时               72          
273      默默               72          
274      心灵               72          
275      那种               72          
276      老人               71          
277      即使               71          
278      问题               71          
279      小姐               70          
280      笑容               70          
281      非常               70          
282      记忆               70          
283      随着               69          
284      安慰               69          
285      特别               69          
286      渐渐               69          
287      真正               69          
288      太阳               69          
289      路上               68          
290      成绩               68          
291      回忆               68          
292      爱情               68          
293      子欣               68          
294      显得               67          
295      漂亮               67          
296      眼神               67          
297      就是               67          
298      姐姐               67          
299      翅膀               67          
300      听见               67          
301      感受               66          
302      然而               66          
303      灿烂               66          
304      早已               66          
305      是的               66          
306      同时               65          
307      如同               65          
308      存在               65          
309      来说               65          
310      选择               65          
311      继续               64          
312      拥有               64          
313      正是               64          
314      男人               64          
315      女生               64          
316      学会               64          
317      一生               63          
318      感情               63          
319      害怕               63          
320      现实               63          
321      考试               63          
322      忘记               63          
323      难道               63          
324      小诺               63          
325      时光               62          
326      此时               62          
327      经过               62          
328      内心               62          
329      决定               62          
330      谢谢               62          
331      重要               62          
332      一刻               62          
333      找到               62          
334      感动               62          
335      就要               61          
336      完全               61          
337      说道               61          
338      一会儿              61          
339      小时               61          
340      兴奋               61          
341      任何               61          
342      不仅               60          
343      一阵               60          
344      是否               60          
345      由于               60          
346      结果               60          
347      忽然               60          
348      不断               59          
349      结束               59          
350      环境               59          
351      国家               59          
352      地上               59          
353      能够               59          
354      机会               59          
355      同样               59          
356      作为               59          
357      传来               59          
358      依依               59          
359      因此               59          
360      动物               59          
361      力量               59          
362      后面               58          
363      温柔               58          
364      根本               58          
365      参加               58          
366      几乎               57          
367      理解               57          
368      成长               57          
369      下午               57          
370      常常               57          
371      早上               56          
372      过年               56          
373      不好               56          
374      依旧               56          
375      荣荣               56          
376      马上               55          
377      带来               55          
378      那儿               55          
379      到底               55          
380      休息               55          
381      思想               55          
382      简单               55          
383      有着               55          
384      上帝               55          
385      最终               55          
386      身影               55          
387      目光               54          
388      越来越              54          
389      进入               54          
390      白色               54          
391      公司               54          
392      有点               54          
393      坚强               54          
394      外面               54          
395      男生               54          
396      对不起              54          
397      人间               54          
398      从此               53          
399      还要               53          
400      更加               53          
401      生日               53          
402      走过               53          
403      消失               53          
404      悲伤               53          
405      如今               53          
406      刚才               53          
407      如何               53          
408      祝福               53          
409      有人               53          
410      这次               52          
411      小学               52          
412      认真               52          
413      见到               52          
414      必须               52          
415      作文               52          
416      萧桐               52          
417      祖国               51          
418      味道               51          
419      其中               51          
420      每次               51          
421      习惯               51          
422      进来               51          
423      上课               51          
424      接着               51          
425      妹妹               51          
426      而是               51          
427      实在               51          
428      沉默               51          
429      忧伤               51          
430      空气               50          
431      进去               50          
432      奇怪               50          
433      旁边               50          
434      大地               50          
435      只见               50          
436      分钟               50          
437      时代               50          
438      无数               50          
439      大学               50          
440      再次               50          
441      静静               50          
442      数学               50          
443      阿凤               50          
444      不能               49          
445      发出               49          
446      窗外               49          
447      除了               49          
448      再见               49          
449      那位               49          
450      放弃               49          
451      上面               49          
452      一路               49          
453      周围               48          
454      刚刚               48          
455      语言               48          
456      毕竟               48          
457      担心               48          
458      大人               48          
459      笑声               48          
460      游戏               48          
461      代表               48          
462      哭泣               48          
463      思念               48          
464      文学               48          
465      同桌               48          
466      孤独               48          
467      进行               47          
468      弟弟               47          
469      注意               47          
470      哪里               47          
471      可怜               47          
472      狠狠               47          
473      转身               47          
474      平静               47          
475      独自               47          
476      校园               47          
477      天气               47          
478      帮助               47          
479      彼此               46          
480      以及               46          
481      从来               46          
482      双手               46          
483      手里               46          
484      意思               46          
485      坚持               46          
486      活动               46          
487      伤心               46          
488      伟大               46          
489      寂寞               46          
490      经常               46          
491      叶子               46          
492      奥运会              45          
493      比赛               45          
494      不少               45          
495      看来               45          
496      深处               45          
497      手机               45          
498      始终               45          
499      故乡               45          
500      很快               45          
501      哈哈               45          
502      年轻               45          
503      生气               45          
504      怎么样              45          
505      人家               45          
506      属于               45          
507      唯一               45          
508      未来               45          
509      勇气               45          
510      阿雁               45          
511      自由               44          
512      兄弟               44          
513      便是               44          
514      灵魂               44          
515      表情               44          
516      班主任              44          
517      放在               44          
518      流行               44          
519      尽管               44          
520      清楚               44          
521      顿时               44          
522      安静               44          
523      肯定               44          
524      天堂               44          
525      嘟比               44          
526      不禁               43          
527      本来               43          
528      大声               43          
529      了解               43          
